INDUSTRY,SUBSCRIPTION_FEE,JOB_ACTIVITY_2,JOB_ACTIVITY_3,JOB_ACTIVITY_4,JOB_ACTIVITY_1,JOB_ACTIVITY_5,PAYMENT_TYPE_1,PAYMENT_TYPE_2,PAYMENT_TYPE_3,PAYMENT_TYPE_4,PAYMENT_TYPE_5,COMPANY_SIZE
B,79,44,48,28,49,19,25117.36,4445.8,0.0,37.7,20633.86,A
B,46,86,93,52,90,40,28303.0,6251.0,0.0,1385.0,18354.5,A
A,46,55,75,0,303,0,0.0,0.0,0.0,0.0,0.0,A
F,46,6,21,31,11,5,7818.5,4081.5,0.0,109.0,3519.0,B
A,83,37,72,17,889,12,4562.58,3089.51,0.0,0.0,1093.07,A
E,48,1,23,18,29,4,40977.72,1065.93,0.0,0.0,39905.44,B
A,46,14,17,8,17,6,3021.0,430.0,0.0,70.0,2521.0,A
A,46,11,70,26,103,22,5340.75,2995.75,0.0,165.0,1520.0,A
C,26,214,284,310,295,283,126623.62,38908.82,0.0,2245.0,83284.8,A
B,39,38,43,32,54,30,36280.33,11805.14,0.0,0.0,20239.19,A
E,41,3,7,4,6,3,813.16,0.0,0.0,492.72,320.44,B
A,46,37,57,43,66,21,23997.96,12834.5,0.0,250.0,10913.46,B
A,25,17,17,17,30,3,4708.75,1375.0,0.0,1393.0,1940.75,B
E,8,158,181,80,184,2,17751.77,17751.77,0.0,0.0,0.0,A
B,46,5,10,9,17,0,2721.83,0.0,0.0,0.0,721.83,B
B,46,11,16,11,16,4,36414.95,0.0,0.0,0.0,3290.0,B
B,40,0,69,5,94,1,15437.58,0.0,0.0,0.0,15437.58,B
C,23,41,63,61,77,21,14449.5,9590.0,0.0,1625.5,3234.0,C
B,46,1,72,46,51,34,94272.48,20624.48,0.0,0.0,71789.15,B
B,52,37,40,39,45,21,13202.38,6094.39,6094.39,1252.0,3335.99,B
B,48,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
B,83,130,184,73,194,21,20783.77,178.0,0.0,301.0,7682.47,A
E,41,1,22,8,18,0,8237.09,288.88,0.0,0.0,6319.21,C
E,16,1,1,1,1,0,428.25,0.0,0.0,0.0,428.25,C
B,90,29,31,3,32,0,232.5,157.5,0.0,0.0,75.0,A
F,46,0,6,7,0,0,7115.0,2815.0,0.0,0.0,2000.0,C
C,46,4,9,7,12,5,21065.0,95.0,0.0,2400.0,18570.0,B
B,46,4,8,12,4,7,82477.57,654.0,0.0,0.0,81823.57,B
E,450,47,51,55,44,52,13777.99,9509.44,9509.44,350.0,3918.55,A
E,8,63,82,76,76,15,18239.25,10773.36,0.0,2652.01,4657.73,B
E,30,3,29,29,33,24,7622.61,0.0,0.0,0.0,0.0,C
B,34,92,92,27,94,5,45899.66,7151.8,0.0,6868.95,18360.91,A
E,143,8,212,238,166,48,65162.1,4513.8,0.0,2021.74,42191.34,B
B,212,79,78,47,80,23,16229.1,5818.7,0.0,69.95,10340.45,B
B,23,0,11,14,16,14,114541.99,0.0,0.0,0.0,464.15,C
E,14,7,8,8,13,2,1667.0,232.0,0.0,435.0,1000.0,C
B,16,15,85,83,97,23,10529.16,2216.95,0.0,236.08,8076.13,C
C,52,13,17,14,18,12,44258.58,9632.57,9632.57,0.0,29697.87,C
A,46,0,174,166,380,23,37297.52,0.0,0.0,475.0,18485.6,A
B,55,194,199,164,202,162,48836.84,25270.09,0.0,487.33,17720.98,A
B,59,21,51,44,48,34,47942.16,3087.65,0.0,4695.32,1510.29,A
A,46,22,223,215,89,28,26637.5,4842.5,4842.5,1290.0,20085.0,A
B,28,0,39,20,26,17,24458.86,9856.86,0.0,110.0,14492.0,B
A,46,22,26,27,26,4,7888.5,1163.5,0.0,1400.0,4925.0,B
E,41,3,7,7,13,7,2712.0,1487.5,0.0,0.0,1224.5,B
D,16,0,284,296,281,3,12885.0,250.0,0.0,715.0,11920.0,C
E,6,0,5,5,2,2,1146.62,411.62,0.0,0.0,735.0,C
F,52,0,75,81,34,37,111363.63,6542.05,0.0,425.0,87302.14,B
E,83,0,13,13,11,1,3304.4,1764.5,0.0,0.0,1539.9,C
E,41,11,56,53,48,29,8270.25,3098.65,0.0,872.0,4299.6,B
C,90,93,109,91,123,90,72404.49,35202.11,35317.11,955.0,36052.38,A
A,46,2,3,2,2,2,288.0,155.0,0.0,133.0,0.0,B
C,46,0,2,3,0,0,2850.0,2850.0,0.0,0.0,0.0,B
B,52,10,14,13,20,3,2881.75,1019.75,0.0,129.0,1408.0,B
C,51,92,99,83,107,76,46651.78,18573.18,2440.0,150.0,27433.6,A
E,100,0,9,6,9,2,1015.4,270.4,0.0,120.0,625.0,C
A,48,99,133,118,132,118,9285.7,8120.7,0.0,130.0,1035.0,A
D,83,0,12,31,0,0,30952.5,2515.0,0.0,0.0,28437.5,A
F,16,0,4,3,4,1,1980.0,0.0,0.0,0.0,1980.0,C
E,373,1,4,3,5,1,994.69,0.0,0.0,265.5,729.19,B
C,52,13,69,68,81,66,26085.0,16060.0,0.0,0.0,10025.0,B
F,83,0,42,0,50,0,0.0,0.0,0.0,0.0,0.0,B
E,15,15,16,15,17,14,3333.0,0.0,0.0,0.0,1212.75,C
C,33,4,13,13,16,1,6142.47,4895.47,4895.47,848.0,399.0,B
F,16,0,8,1,3,0,577.74,0.0,0.0,0.0,577.74,C
E,23,0,13,7,10,1,2810.55,205.0,0.0,0.0,2605.55,C
A,46,4,5,4,11,4,599.58,352.38,0.0,247.2,0.0,B
B,52,2,63,65,73,59,68983.85,43889.4,0.0,265.0,19579.45,B
A,26,165,193,316,132,4,31845.0,0.0,0.0,120.0,13557.8,A
B,30,19,23,15,26,14,4479.0,0.0,0.0,915.0,2335.0,B
E,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
F,90,38,49,7,50,6,1411.97,0.0,0.0,0.0,1052.82,A
C,16,0,2,0,2,0,0.0,0.0,0.0,0.0,0.0,C
A,796,67,345,230,298,161,251073.62,7134.0,0.0,1338.0,242041.9,A
B,46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
A,52,36,48,48,34,44,11238.1,8206.1,1716.0,0.0,3032.0,A
F,83,1,0,0,173,0,0.0,0.0,0.0,0.0,0.0,A
E,46,1,18,20,24,10,44546.6,4561.56,0.0,1600.0,38385.04,B
A,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
B,30,1,10,15,4,5,23150.74,699.93,0.0,90.0,22360.81,C
E,46,40,47,37,65,35,27120.5,23277.25,23277.25,83.35,3759.9,A
C,46,0,35,15,13,3,58039.49,14663.94,0.0,0.0,810.55,B
F,41,1,6,6,11,0,14429.93,2425.5,0.0,0.0,12004.43,C
C,53,0,54,49,29,14,31070.94,19016.74,0.0,432.5,11621.7,B
C,90,171,276,172,286,99,138549.95,78387.2,0.0,700.2,48430.75,A
B,90,97,128,73,139,63,128283.86,102211.69,0.0,2155.45,23916.72,A
E,16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
F,46,45,53,29,62,8,15557.23,8055.6,0.0,0.0,6436.93,B
C,52,5,78,2,94,2,771.75,299.25,0.0,0.0,0.0,A
B,46,0,4,3,0,1,11000.0,0.0,0.0,0.0,11000.0,B
F,16,0,1,2,0,0,10102.0,0.0,0.0,0.0,10102.0,C
A,46,34,51,30,37,29,4544.42,2776.37,0.0,740.1,441.0,A
A,16,0,4,7,0,0,9285.0,0.0,0.0,0.0,9285.0,B
C,79,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,B
D,83,53,58,70,37,60,36275.08,3448.58,0.0,0.0,32826.5,A
B,46,0,16,1,0,2,2374.13,0.0,0.0,0.0,2374.13,B
B,33,36,211,124,206,11,46490.16,0.0,0.0,3868.68,12948.13,A
A,46,26,129,113,659,52,12502.91,4990.41,0.0,0.0,1795.0,A
C,16,0,12,28,10,27,7474.36,194.25,0.0,0.0,620.11,C
E,23,1,9,10,15,3,1490.05,400.0,0.0,0.0,745.05,C
D,23,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
B,52,8,8,8,9,7,12822.98,12473.98,0.0,0.0,190.0,B
C,46,14,63,50,63,31,66155.14,0.0,0.0,0.0,30228.67,A
F,16,0,4,12,0,0,7530.0,2780.0,0.0,0.0,295.0,C
A,46,78,85,83,161,25,16240.0,1565.0,0.0,1625.0,4380.0,A
C,33,23,33,32,43,21,28697.39,3368.0,3368.0,825.0,24504.39,B
B,46,4,7,7,7,9,22960.0,115.0,0.0,0.0,15640.0,C
E,46,75,92,93,90,76,16270.9,6858.25,0.0,799.5,8613.15,B
A,46,39,47,45,18,17,7603.77,3727.25,3727.25,285.0,3411.52,A
A,46,9,12,12,35,6,2841.46,1970.46,0.0,0.0,871.0,A
C,83,317,319,136,294,11,159169.3,0.0,0.0,14386.4,32729.5,A
E,48,22,28,32,29,18,16559.56,1995.8,0.0,0.0,14563.76,A
E,46,44,84,62,87,52,19662.2,1205.0,0.0,905.0,17552.2,B
F,46,38,19,0,49,0,0.0,0.0,0.0,0.0,0.0,A
C,46,31,113,89,122,47,21633.72,6783.34,0.0,1760.94,13089.44,B
E,170,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
C,46,81,209,0,317,0,0.0,0.0,0.0,0.0,0.0,B
B,74,71,98,88,105,86,131068.08,75042.0,0.0,469.0,55557.08,A
C,16,4,12,14,7,2,16441.0,0.0,0.0,3557.0,12884.0,C
E,74,1,1,2,2,0,2.08,1.0,0.0,1.08,0.0,B
B,15,0,1,3,0,0,729.55,233.55,0.0,0.0,496.0,C
C,23,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
C,62,106,111,81,123,78,48737.0,24932.0,0.0,1875.0,18555.0,B
A,52,7,14,0,21,0,0.0,0.0,0.0,0.0,0.0,B
C,31,0,16,14,13,8,6455.0,2580.0,0.0,175.0,3700.0,B
B,89,50,58,51,58,36,62703.98,17571.4,0.0,291.0,42904.58,A
C,48,38,62,59,61,51,48480.17,12572.45,659.34,1969.89,33937.83,B
C,16,2,33,33,36,32,11673.7,725.0,0.0,832.95,4966.75,C
B,84,39,45,6,57,1,1151.9,140.72,0.0,65.0,946.18,B
B,91,0,16,18,0,0,17815.85,10164.42,0.0,0.0,7651.43,B
B,75,21,105,86,108,74,82226.13,0.0,0.0,275.6,29590.05,A
E,15,9,17,25,21,20,7859.99,0.0,0.0,0.0,7859.99,C
B,16,0,24,27,24,27,6810.0,1595.0,0.0,300.0,4915.0,C
B,83,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
C,46,0,16,16,4,2,28972.38,3795.5,3795.5,10800.0,14376.88,C
E,6,14,18,18,17,15,3162.54,1426.39,0.0,1322.15,414.0,C
A,46,0,29,31,28,30,6982.78,6501.39,6501.39,254.39,227.0,B
A,46,95,109,116,361,65,21658.52,9222.02,0.0,1527.0,9919.5,A
B,83,106,117,9,984,2,2313.32,1951.01,0.0,0.0,362.31,A
A,46,0,8,5,2,0,801.67,157.57,0.0,0.0,0.0,A
C,46,80,105,100,116,88,47225.13,16596.26,0.0,285.0,30343.87,B
E,46,1,38,27,50,19,6566.1,2701.1,0.0,710.0,3155.0,B
C,79,0,9,2,10,0,293.41,0.0,0.0,0.0,241.16,A
B,23,22,20,8,15,9,3733.55,2568.55,2568.55,0.0,1165.0,C
B,41,43,47,37,49,34,50199.39,180.0,0.0,170.0,47553.39,B
E,58,13,14,8,20,5,2786.85,2103.35,0.0,215.5,468.0,B
C,83,171,423,0,456,0,0.0,0.0,0.0,0.0,0.0,A
C,46,28,44,43,48,10,40405.08,12724.9,0.0,575.0,27105.18,B
C,30,4,13,14,13,7,20958.0,2623.0,0.0,50.0,18285.0,C
F,83,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,A
F,13,0,18,22,0,0,19715.61,13437.96,1204.56,99.0,6178.65,B
B,36,1,1,1,1,1,89.0,0.0,0.0,0.0,89.0,C
A,46,15,138,22,675,14,2676.4,0.0,0.0,1313.78,491.12,A
A,46,23,30,31,347,26,3010.25,2044.0,2044.0,241.25,680.0,B
B,46,7,13,24,8,2,6321.94,75.0,0.0,75.0,75.0,A
B,48,1,10,8,7,5,9889.59,9095.59,9095.59,59.0,735.0,B
B,39,2,2,2,3,0,560.0,0.0,0.0,0.0,560.0,B
D,16,0,1,1,0,0,65.0,65.0,0.0,0.0,0.0,C
B,82,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
E,46,2,25,22,24,14,3571.25,2221.25,0.0,410.0,940.0,B
B,52,0,6,0,4,0,0.0,0.0,0.0,0.0,0.0,B
E,23,0,6,6,31,0,1970.0,0.0,0.0,460.0,1340.0,C
C,46,41,75,71,83,47,144729.21,53976.97,0.0,6723.87,59362.65,B
B,16,0,2,2,1,0,4925.0,0.0,0.0,0.0,4925.0,B
B,46,14,24,27,22,8,30006.74,1155.64,0.0,0.0,28805.34,B
A,46,0,0,0,2800,0,0.0,0.0,0.0,0.0,0.0,B
E,16,0,57,56,0,0,8863.62,4503.37,0.0,0.0,4360.25,C
E,15,8,10,6,11,2,1017.48,579.96,579.96,260.0,177.52,C
B,517,9,52,41,62,45,49245.0,35312.5,0.0,0.0,13932.5,A
E,41,8,23,32,39,8,9503.35,5346.47,0.0,821.38,3077.5,C
B,46,11,21,25,38,8,21303.7,0.0,0.0,0.0,16967.5,B
D,52,3,62,46,4,44,26713.12,276.46,0.0,0.0,26436.66,B
E,21,4,33,16,34,3,2380.0,1595.0,0.0,0.0,785.0,C
C,52,83,88,48,92,33,19210.39,11387.25,0.0,0.0,7084.64,B
E,46,0,5,5,5,1,1870.0,1870.0,0.0,0.0,0.0,B
C,23,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,B
B,90,6,23,33,23,32,86924.0,0.0,0.0,65.0,86859.0,A
E,41,14,19,17,14,11,6937.15,212.18,0.0,0.0,6724.97,C
B,46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
E,61,35,53,56,57,24,15660.71,8522.28,8522.28,522.44,6435.99,A
C,46,0,5,5,3,1,1739.6,0.0,0.0,0.0,1739.6,B
B,83,0,1,0,6,0,0.0,0.0,0.0,0.0,0.0,B
B,46,16,41,33,29,28,35107.09,2973.31,0.0,11375.3,20758.48,B
F,58,0,37,32,6,0,24690.0,0.0,0.0,0.0,19740.0,A
E,697,31,89,11,114,0,1763.23,42.6,0.0,0.0,1528.98,A
B,46,2,21,25,22,25,23037.06,15195.94,15195.94,4072.61,1518.51,C
A,15,24,27,25,27,19,3353.47,2634.16,0.0,113.11,606.2,C
E,23,56,66,65,62,21,16573.65,0.0,0.0,0.0,0.0,C
B,23,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
C,59,64,61,0,69,0,0.0,0.0,0.0,0.0,0.0,A
D,46,0,17,29,0,0,49447.6,0.0,0.0,0.0,49447.6,B
C,16,7,36,32,62,20,12266.3,2141.5,0.0,0.0,10124.8,C
B,61,0,8,7,2,0,14323.95,2850.0,0.0,180.0,11293.95,B
E,39,32,46,39,41,9,22749.14,15594.2,14947.41,0.0,1765.41,B
E,33,7,7,7,10,0,2492.14,863.14,0.0,0.0,1629.0,C
A,26,0,143,147,374,60,16719.7,6295.75,0.0,916.0,9507.95,A
E,16,2,28,21,30,11,5379.0,0.0,0.0,603.0,3022.0,B
F,46,2,14,5,0,1,2160.0,1400.0,0.0,0.0,760.0,C
C,6,5,8,6,9,4,2976.0,0.0,0.0,0.0,2271.0,B
B,41,4,33,19,41,6,52716.6,1254.1,0.0,50.0,50503.5,B
A,52,16,278,192,1429,3,11148.58,0.0,0.0,775.0,760.0,A
C,52,32,107,138,85,77,57989.26,13583.1,13583.1,790.0,43616.16,B
A,46,25,131,66,135,7,6506.0,830.0,0.0,0.0,3205.0,A
B,41,86,83,0,101,0,0.0,0.0,0.0,0.0,0.0,B
E,15,7,7,7,7,3,1044.75,542.75,0.0,502.0,0.0,C
C,46,24,76,22,100,12,6859.2,5363.2,4287.2,80.0,1416.0,A
F,83,0,16,11,18,5,27873.5,0.0,0.0,0.0,22131.5,B
B,52,38,51,23,52,18,32428.37,30105.47,14748.17,0.0,2322.9,B
B,83,14,19,19,17,15,130577.23,54279.97,0.0,0.0,76297.26,A
E,46,5,10,9,14,6,3911.71,1226.01,1226.01,150.0,2535.7,B
C,16,28,31,27,32,26,7384.55,0.0,0.0,1130.0,4376.55,C
B,46,21,52,17,48,6,20403.0,14710.0,0.0,141.0,5552.0,B
C,83,110,114,87,100,82,123863.25,38296.5,0.0,0.0,85566.75,A
A,52,87,147,134,166,119,12555.9,0.0,0.0,12555.9,0.0,A
E,30,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,C
B,75,1,6,1,9,0,10751.0,0.0,0.0,0.0,10751.0,A
A,46,5,67,48,61,10,8699.19,0.0,0.0,1538.31,3221.48,A
B,21,2,0,0,1,0,0.0,0.0,0.0,0.0,0.0,C
F,52,0,25,22,28,17,49727.32,3964.95,0.0,0.0,41921.37,B
F,46,45,51,34,57,16,29814.2,16733.7,16744.7,86.0,12994.5,B
E,15,13,51,46,55,19,13705.36,5058.7,5058.7,2751.66,5895.0,C
B,16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
E,16,12,11,9,15,5,3074.6,0.0,0.0,0.0,2774.65,C
C,67,8,39,34,35,28,26286.21,17921.99,0.0,0.0,6499.22,B
C,83,84,127,78,145,69,74529.42,39237.9,0.0,7706.0,24341.52,A
A,46,0,46,33,0,4,4290.0,0.0,0.0,260.0,3840.0,B
B,126,99,102,72,122,73,120325.55,5728.01,0.0,110.0,108685.68,B
C,18,48,71,63,75,54,38424.29,11455.47,3307.71,148.0,26670.87,B
A,46,13,13,7,13,6,1263.83,0.0,0.0,525.02,373.46,B
C,199,84,88,77,83,5,13955.91,1671.53,0.0,275.0,3537.99,B
B,46,0,7,0,0,0,0.0,0.0,0.0,0.0,0.0,B
B,46,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,B
E,26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
D,46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
B,75,8,77,1,101,1,89.0,0.0,0.0,0.0,0.0,A
C,52,8,14,3,18,1,1648.45,0.0,0.0,0.0,1648.45,B
C,46,20,25,14,47,10,4607.45,0.0,0.0,0.0,4607.45,B
B,16,0,23,9,0,0,14933.73,12578.0,0.0,0.0,2355.73,C
A,33,84,198,198,360,8,22611.4,0.0,0.0,7335.0,14546.4,A
B,83,201,473,278,534,75,290810.15,0.0,0.0,8263.0,111060.6,A
E,41,0,5,3,6,0,1116.96,0.0,0.0,0.0,1116.96,B
B,15,0,1,1,1,0,3900.0,0.0,0.0,3900.0,0.0,C
B,48,0,15,13,1,0,11729.0,4232.0,0.0,0.0,2697.0,C
B,83,60,94,121,123,92,208985.96,789.02,0.0,0.0,99012.59,A
E,16,5,5,6,6,1,743.0,102.35,0.0,200.0,340.65,C
F,46,3,21,21,16,14,17520.5,7647.5,0.0,0.0,9873.0,B
E,13,12,14,11,19,2,1367.5,587.5,587.5,590.0,190.0,A
B,75,62,184,107,193,9,78959.3,0.0,0.0,925.0,53666.89,B
B,46,1,22,15,22,12,25708.0,467.0,0.0,290.0,24951.0,B
B,16,0,6,1,1,0,6772.5,6772.5,6772.5,0.0,0.0,B
A,46,5,9,0,11,0,0.0,0.0,0.0,0.0,0.0,B
E,13,0,23,23,27,12,7344.0,3027.0,0.0,265.0,3822.0,B
E,35,226,227,221,222,109,68851.94,52724.55,0.0,2231.88,13252.41,A
A,46,8,7,12,2,7,1302.24,761.48,0.0,0.0,97.43,A
C,116,6,5,0,7,0,0.0,0.0,0.0,0.0,0.0,A
C,46,0,5,2,9,0,1125.0,0.0,0.0,0.0,355.0,B
C,35,0,44,0,60,0,0.0,0.0,0.0,0.0,0.0,B
A,83,65,66,64,763,65,7078.76,1502.54,0.0,5576.22,0.0,A
E,35,21,64,71,82,29,22634.0,0.0,0.0,2295.0,18164.0,B
C,83,50,93,66,97,2,34800.06,2103.0,0.0,1762.59,9872.65,B
E,41,12,22,19,27,3,5572.98,0.0,0.0,340.0,2720.98,C
D,46,2,11,10,5,3,17101.47,10913.8,3622.17,0.0,970.0,B
E,41,6,8,8,14,4,1309.9,0.0,0.0,220.0,1089.9,B
E,55,22,29,28,34,10,9776.9,4758.09,0.0,432.0,3956.81,B
E,46,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,C
B,41,0,10,8,8,4,3980.0,1075.0,0.0,355.0,2550.0,B
C,46,0,5,0,16,0,0.0,0.0,0.0,0.0,0.0,B
B,23,7,20,18,22,8,5325.5,700.5,0.0,1160.0,3465.0,B
C,16,4,31,22,13,20,10394.0,0.0,0.0,4804.0,5590.0,C
B,46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
E,27,32,64,84,51,79,44734.58,6736.87,0.0,1112.48,16324.69,A
C,46,10,34,40,48,18,13146.05,5715.27,5715.27,225.0,4541.04,B
B,46,16,40,12,41,9,27913.26,14067.44,0.0,0.0,13845.82,B
E,46,0,17,4,1,1,1430.0,1430.0,0.0,0.0,0.0,C
E,46,5,9,9,11,5,2255.16,229.4,0.0,0.0,2025.76,C
B,83,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
A,16,0,143,0,168,0,0.0,0.0,0.0,0.0,0.0,B
E,6,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,C
C,46,2,8,12,5,11,14962.4,3041.64,0.0,250.0,11670.76,C
F,16,3,9,9,7,3,6120.84,544.36,0.0,100.0,5476.48,B
B,796,74,225,146,230,101,156700.84,46063.84,0.0,7373.0,58212.0,A
B,41,20,37,33,40,29,23747.3,4478.0,0.0,657.0,18612.3,B
E,42,9,21,23,31,18,5279.56,3353.92,3353.92,783.0,1142.64,C
A,46,0,14,12,271,0,1935.1,1590.1,0.0,105.0,115.0,B
F,57,15,20,17,30,11,12099.8,4780.5,1601.5,3055.3,4264.0,B
C,46,50,141,98,153,62,37935.0,7684.0,0.0,1269.0,28982.0,B
C,83,1,174,195,222,194,114507.7,0.0,0.0,480.07,90917.67,A
A,32,8,24,23,14,4,10284.0,3875.0,0.0,0.0,6409.0,A
B,83,53,164,72,137,48,72203.2,21232.0,0.0,0.0,46105.2,A
C,6,5,11,10,13,9,10646.0,275.0,0.0,1525.0,8846.0,C
B,48,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
E,46,5,17,13,20,9,5880.01,2516.01,0.0,0.0,3364.0,C
E,28,17,1,2,50,1,200.0,0.0,0.0,100.0,0.0,C
A,46,26,65,33,173,16,5257.5,3177.5,3177.5,250.0,1495.0,A
B,74,0,5,3,3,0,1040.14,382.67,0.0,0.0,657.47,B
E,38,0,18,17,3,0,5565.8,573.8,0.0,0.0,4992.0,B
C,46,81,76,18,97,2,23444.0,21894.0,21894.0,0.0,150.0,B
A,66,505,565,0,1063,0,0.0,0.0,0.0,0.0,0.0,A
B,16,0,2,1,0,0,150.0,150.0,0.0,0.0,0.0,C
C,52,85,119,53,132,11,30775.71,9582.54,6408.14,9291.0,1502.17,A
E,21,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
B,90,140,169,87,158,69,70625.6,28417.1,0.0,2939.0,37152.5,A
D,16,0,3,7,4,0,801.5,0.0,0.0,281.61,86.65,C
B,16,0,4,5,2,2,4615.0,140.0,0.0,0.0,4475.0,C
D,46,3,56,73,37,69,124445.88,22777.05,0.0,4615.0,96988.83,B
C,57,90,120,111,126,77,57099.11,24537.54,0.0,307.12,32254.45,B
B,28,19,30,22,29,11,54510.5,16811.59,0.0,2206.22,35492.69,B
D,46,1,6,6,2,2,8306.36,3041.36,3041.36,0.0,5265.0,B
E,36,41,53,57,47,27,18228.93,3567.98,0.0,0.0,13668.45,A
C,46,29,65,65,67,59,44230.0,0.0,0.0,3525.0,1760.0,B
F,46,37,56,46,66,41,31517.33,3171.0,0.0,80.0,8186.7,B
E,111,88,119,123,131,46,20768.5,3562.5,0.0,1270.0,15486.0,A
F,55,39,51,89,68,23,119843.58,2244.15,0.0,6000.0,4013.02,A
B,16,0,24,38,24,38,9087.0,695.0,0.0,0.0,8392.0,C
E,23,6,6,3,12,0,505.0,0.0,0.0,210.0,295.0,B
E,8,3,6,5,6,0,1062.0,165.0,0.0,445.0,452.0,C
A,33,31,34,30,412,9,3406.0,1045.0,0.0,390.0,1971.0,A
C,90,193,237,154,263,93,29104.21,9985.0,0.0,1295.0,17709.21,B
A,52,153,228,169,1200,32,17683.71,3905.64,0.0,1916.0,5655.0,A
B,75,17,56,38,53,38,106258.7,22219.38,0.0,0.0,84039.32,B
B,52,10,35,33,33,27,27664.84,7320.72,0.0,180.05,20164.07,C
E,11,19,25,22,30,0,4966.63,3286.6,3286.6,389.44,721.76,B
F,83,14,63,44,62,35,115131.36,9881.43,0.0,170.3,104388.13,A
B,41,36,50,30,72,26,30880.01,17127.2,0.0,0.0,13752.81,B
B,48,34,40,24,34,10,53775.85,5080.0,0.0,7177.0,29883.85,B
E,26,34,41,37,48,31,3754.24,1429.08,0.0,1995.0,330.16,A
B,41,2,27,30,25,19,27582.02,2651.84,875.26,0.0,24930.18,B
C,46,0,0,1,2,0,300.0,0.0,0.0,300.0,0.0,B
F,46,0,29,22,43,0,36601.52,1212.55,0.0,434.94,34954.03,B
D,105,0,19,29,0,8,9494.0,0.0,0.0,1800.0,3871.0,B
B,16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
C,52,19,52,47,56,32,26176.8,17210.11,0.0,1999.8,4316.89,B
B,46,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,C
D,46,0,5,1,3,0,34834.35,34834.35,0.0,0.0,0.0,B
F,46,5,7,6,5,6,13452.15,0.0,0.0,350.0,13102.15,B
E,41,25,48,55,49,26,19202.05,2538.0,997.0,350.0,16314.05,B
A,39,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
B,46,4,12,9,12,4,19433.0,1673.0,0.0,60.0,17700.0,B
E,37,21,30,60,85,2,22818.84,5153.61,0.0,0.0,17665.23,A
B,23,0,0,0,83,0,0.0,0.0,0.0,0.0,0.0,B
B,83,0,0,1,0,1,108327.5,85.0,0.0,0.0,108242.5,A
B,46,4,4,5,4,5,5542.41,1161.95,1161.95,0.0,4380.46,B
A,46,120,190,30,1111,19,4489.41,4489.41,0.0,0.0,0.0,A
A,46,2,2,2,3498,1,160.0,0.0,0.0,0.0,160.0,B
A,46,13,111,35,495,3,3883.0,0.0,0.0,433.0,2100.0,A
E,193,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
C,83,310,387,258,395,205,143719.07,0.0,0.0,474.0,94819.62,A
B,157,35,40,38,40,29,51317.46,5445.53,0.0,0.0,45871.93,B
E,13,19,25,34,24,21,10229.7,2253.0,0.0,320.0,6112.2,C
C,46,35,58,48,48,25,31756.89,12977.29,0.0,1880.0,16899.6,B
C,46,24,34,40,34,42,15795.0,7470.0,0.0,470.0,7855.0,B
A,33,151,326,311,401,179,66516.55,19826.07,0.0,0.0,27114.98,A
B,716,54,80,34,66,15,15604.82,6333.51,0.0,350.0,8921.31,A
B,41,0,2,2,1,0,130.0,0.0,0.0,65.0,65.0,B
B,50,96,165,97,157,90,77410.4,40580.0,0.0,5271.0,31559.4,A
E,79,0,1,0,2,0,0.0,0.0,0.0,0.0,0.0,B
E,86,54,62,69,78,10,58088.51,1858.93,0.0,0.0,56229.58,B
E,57,0,34,32,28,24,10590.14,4291.75,0.0,2273.57,4024.82,C
F,46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
C,46,44,88,34,114,19,10694.88,1536.47,0.0,2326.25,5282.16,B
B,83,312,386,0,451,0,0.0,0.0,0.0,0.0,0.0,A
